slot,group,id,title,label,tags,position,related_ailment,related_ability,level,class,reroll_chance,extra_info,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6,tier_7,tier_8
Helmet,Acolyte,435,Chance To Cast Marrow Shards When You Cast Transplant,Chance To Cast Marrow Shards When You Cast Transplant (Added),,Prefix,,"Marrow Shards,Transplant",13,Acolyte,89.0,,5% To 7%,8% To 15%,16% To 25%,26% To 30%,31% To 40%,55% To 75%,76% To 100%,100%
Helmet,Acolyte,415,Chance To Gain 20 Ward On Kill With Hungering Souls,Chance To Gain 20 Ward On Kill With Hungering Souls (Added),"Ward,Recovery",Prefix,,Hungering Souls,8,Acolyte,89.0,,40% To 44%,45% To 49%,50% To 54%,55% To 59%,60% To 77%,80% To 89%,90% To 100%,100%
Helmet,Acolyte,419,Critical Strike Chance For Skeletons And Skeletal Mages,"Critical Strike Chance For Skeletons (Added)
Critical Strike Chance For Skeletal Mages (Added)","Critical,Minion",Prefix,,"Summon Skeleton,Summon Skeletal Mage",25,Acolyte,89.0,,"1%
1%","2%
2%","3%
2%","3%
3%","4% To 5%
4% To 5%","7% To 8%
7% To 8%","9% To 10%
9% To 10%","16% To 18%
16% To 18%"
Helmet,Acolyte,422,Damage Leeched As Health While Transformed,Damage Leeched As Health While Transformed (Added),Health,Prefix,,,27,Acolyte,89.0,,1.2% To 1.6%,1.7% To 2.1%,2.2% To 2.6%,2.7% To 3.1%,3.2% To 4%,4.8% To 6%,6.1% To 7.5%,12% To 15%
Helmet,Acolyte,413,Damage To Minions Reflected To Attackers,Minion Damage Reflected (Added),"Minion,Reflect",Prefix,,,25,Acolyte,89.0,,5%,6%,7%,8%,9% To 11%,14% To 17%,18% To 22%,35% To 44%
Helmet,Acolyte,412,Harvest Damage Leeched As Health,Damage Dealt By Harvest Leeched As Health (Added),Health,Prefix,,Harvest,6,Acolyte,89.0,,1.2% To 1.6%,1.7% To 2.1%,2.2% To 2.6%,2.7% To 3.1%,3.2% To 4%,4.8% To 6%,6.1% To 7.5%,12% To 15%
Helmet,Acolyte,416,Increased Critical Strike Chance For You And Your Minions,"Critical Strike Chance (Increased)
Minion Critical Strike Chance (Increased)","Critical,Minion",Prefix,,,29,Acolyte,89.0,,"40% To 45%
40% To 45%","46% To 51%
46% To 51%","52% To 57%
52% To 57%","58% To 63%
58% To 63%","64% To 80%
64% To 80%","100% To 120%
100% To 120%","121% To 150%
121% To 150%","240% To 300%
240% To 300%"
Helmet,Acolyte,418,Increased Damage With Rip Blood And Blood Splatter,"Increased Damage With Rip Blood (Added)
Increased Damage With Blood Splatter (Added)",,Prefix,,"Rip Blood,Blood Splatter",45,Acolyte,89.0,,"30% To 34%
30% To 34%","35% To 42%
35% To 42%","43% To 50%
43% To 50%","51% To 59%
51% To 59%","60% To 75%
60% To 75%","90% To 110%
90% To 110%","111% To 140%
111% To 140%","224% To 280%
224% To 280%"
Helmet,Acolyte,410,Increased Skeletal Mage Damage,Increased Skeletal Mage Damage (Added),Minion,Prefix,,Summon Skeletal Mage,45,Acolyte,89.0,,25% To 38%,39% To 52%,53% To 66%,67% To 80%,81% To 95%,115% To 140%,141% To 180%,288% To 360%
Helmet,Acolyte,420,Increased Spell Damage Per Skeletal Mage,Increased Spell Damage Per Skeletal Mage (Added),"Spell,Minion",Prefix,,Summon Skeletal Mage,25,Acolyte,89.0,,14% To 16%,17% To 19%,20% To 22%,23% To 25%,26% To 33%,40% To 50%,51% To 65%,104% To 130%
Helmet,Acolyte,734,Level Of Chaos Bolts,"Level Of Chaos Bolts (Added)
Spell Damage (Increased)","Skill Level,Spell",Prefix,,Chaos Bolts,50,Acolyte,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Acolyte,636,Level Of Death Seal,"Level Of Death Seal (Added)
Spell Damage (Increased)","Skill Level,Spell",Prefix,,Death Seal,50,Acolyte,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Acolyte,735,Level Of Ghostflame,"Level Of Ghostflame (Added)
Damage Over Time (Increased)","Skill Level,Damage Over Time",Prefix,,Ghostflame,50,Acolyte,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Acolyte,577,Level Of Hungering Souls,"Level Of Hungering Souls (Added)
Spell Damage (Increased)","Skill Level,Spell",Prefix,,Hungering Souls,7,Acolyte,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Acolyte,582,Level Of Marrow Shards,"Level Of Marrow Shards (Added)
Spell Damage (Increased)","Skill Level,Spell",Prefix,,Marrow Shards,4,Acolyte,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Acolyte,578,Level Of Rip Blood,"Level Of Rip Blood (Added)
Spell Damage (Increased)","Skill Level,Spell",Prefix,,Rip Blood,4,Acolyte,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Acolyte,634,Level Of Spirit Plague,"Level Of Spirit Plague (Added)
Spell Damage (Increased)","Curse,Skill Level,Necrotic,Spell,Damage Over Time",Prefix,,Spirit Plague,17,Acolyte,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Acolyte,580,Level Of Summon Bone Golem,"Level Of Summon Bone Golem (Added)
Minion Armor (Added)","Armour,Skill Level,Minion",Prefix,,Summon Bone Golem,12,Acolyte,86.0,,"1
10 To 30","1
31 To 80","1
81 To 160","1
161 To 320","2
321 To 500","3
800 To 1200","4
1201 To 2000","6
3200 To 4000"
Helmet,Acolyte,647,Level Of Summon Volatile Zombie,"Level Of Summon Volatile Zombie (Added)
Minion Damage (Increased)","Skill Level,Minion",Prefix,,Summon Volatile Zombie,20,Acolyte,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Acolyte,384,Minion Freeze Rate Multiplier,Minion Freeze Rate Multiplier (Added),"Freeze,Negative Ailment,Cold,Minion",Prefix,,,53,Acolyte,89.0,,50% To 69%,70% To 89%,90% To 109%,110% To 139%,140% To 190%,240% To 300%,301% To 380%,608% To 760%
Helmet,Acolyte,402,Necrotic Damage While Transformed,Necrotic Damage While Transformed (Increased),Necrotic,Prefix,,,25,Acolyte,89.0,,45% To 51%,52% To 58%,59% To 65%,66% To 72%,73% To 90%,110% To 130%,131% To 160%,256% To 320%
Helmet,Acolyte,401,Physical Damage While Transformed,Physical Damage While Transformed (Increased),Physical,Prefix,,,25,Acolyte,89.0,,45% To 51%,52% To 58%,59% To 65%,66% To 72%,73% To 90%,110% To 130%,131% To 160%,256% To 320%
Helmet,Acolyte,424,Physical Spell Critical Strike Chance,Physical Spell Critical Strike Chance (Increased),"Critical,Physical,Spell",Prefix,,,41,Acolyte,89.0,,45% To 51%,52% To 58%,59% To 65%,66% To 72%,73% To 95%,115% To 140%,141% To 180%,288% To 360%
Helmet,Acolyte,414,Poison Damage And Poison Resistance,"Poison Damage (Increased)
Poison Resistance (Added)","Resistance,Damaging Ailment,Poison,Damage Over Time",Prefix,,,32,Acolyte,89.0,,"25% To 27%
10% To 11%","28% To 30%
12% To 14%","31% To 33%
15% To 17%","34% To 36%
18% To 20%","37% To 50%
21% To 25%","60% To 75%
28% To 32%","76% To 100%
33% To 40%","160% To 200%
64% To 80%"
Helmet,Acolyte,423,Reduced Health Cost Of Spells,Reduced Health Cost Of Spells (Added),"Health,Spell",Prefix,,Transplant,13,Acolyte,89.0,,12% To 15%,16% To 19%,20% To 23%,24% To 27%,28% To 33%,40% To 50%,51% To 65%,80% To 95%
Helmet,Acolyte,406,Shared Bleed Chance On Hit,"Chance To Inflict Bleed On Hit (Added)
Chance To Inflict Bleed On Minion Hit (Added)","Damaging Ailment,Physical,Damage Over Time,Minion",Prefix,Bleed,,57,Acolyte,89.0,,"20% To 23%
20% To 23%","24% To 27%
24% To 27%","28% To 31%
28% To 31%","32% To 35%
32% To 35%","36% To 45%
36% To 45%","55% To 65%
55% To 65%","66% To 85%
66% To 85%","136% To 170%
136% To 170%"
Helmet,Acolyte,407,Shared Increased Bleed Duration,"Increased Bleed Duration (Added)
Increased Minion Bleed Duration (Added)","Damaging Ailment,Duration,Physical,Damage Over Time,Minion",Prefix,Bleed,,57,Acolyte,89.0,,"16% To 17%
16% To 17%","18% To 19%
18% To 19%","20% To 21%
20% To 21%","22% To 23%
22% To 23%","24% To 28%
24% To 28%","34% To 40%
34% To 40%","41% To 50%
41% To 50%","80% To 100%
80% To 100%"
Helmet,Acolyte,404,Shared Increased Fire Damage,"Fire Damage (Increased)
Minion Fire Damage (Increased)","Fire,Minion",Prefix,,,36,Acolyte,89.0,,"30% To 33%
30% To 33%","34% To 37%
34% To 37%","38% To 41%
38% To 41%","42% To 46%
42% To 46%","47% To 60%
47% To 60%","70% To 85%
70% To 85%","86% To 110%
86% To 110%","176% To 220%
176% To 220%"
Helmet,Acolyte,405,Shared Increased Necrotic Damage,"Necrotic Damage (Increased)
Minion Necrotic Damage (Increased)","Necrotic,Minion",Prefix,,,36,Acolyte,89.0,,"25% To 27%
25% To 27%","28% To 30%
28% To 30%","31% To 33%
31% To 33%","34% To 36%
34% To 36%","37% To 50%
37% To 50%","60% To 75%
60% To 75%","76% To 100%
76% To 100%","160% To 200%
160% To 200%"
Helmet,Acolyte,409,Shared Physical Damage Leeched As Health,"Physical Damage Leeched As Health (Added)
Minion Physical Damage Leeched As Health (Added)","Health,Physical,Minion",Prefix,,,60,Acolyte,89.0,,"0.6% To 0.7%
0.6% To 0.7%","0.8% To 0.9%
0.8% To 0.9%","1% To 1.1%
1% To 1.1%","1.2% To 1.3%
1.2% To 1.3%","1.4% To 1.8%
1.4% To 1.8%","2.2% To 2.8%
2.2% To 2.8%","2.9% To 3.6%
2.9% To 3.6%","5.8% To 7.2%
5.8% To 7.2%"
Helmet,Acolyte,408,Shared Physical Penetration With Bleed,"Physical Penetration With Bleed (Added)
Physical Penetration With Bleed Inflicted By Minions (Added)","Penetration,Damaging Ailment,Physical,Damage Over Time,Minion",Prefix,Bleed,,57,Acolyte,89.0,,"12% To 13%
12% To 13%","14% To 15%
14% To 15%","16% To 17%
16% To 17%","18% To 19%
18% To 19%","20% To 23%
20% To 23%","28% To 34%
28% To 34%","35% To 42%
35% To 42%","67% To 84%
67% To 84%"
Helmet,Acolyte,749,Spell Damage For Curses,Curse Spell Damage (Added),"Curse,Spell",Prefix,,,26,Acolyte,89.0,,2 To 5,6 To 9,10 To 14,15 To 18,19 To 24,25 To 36,37 To 48,77 To 96
Helmet,Primalist,332,Armor And Minion Armor,"Armor (Added)
Minion Armor (Added)","Armour,Minion",Prefix,,,27,Primalist,89.0,,"40 To 59
40 To 59","60 To 79
60 To 79","80 To 99
80 To 99","100 To 119
100 To 119","120 To 150
120 To 150","190 To 230
190 To 230","231 To 300
231 To 300","480 To 600
480 To 600"
Helmet,Primalist,342,Cast Speed For Totems,Cast Speed For Totems (Increased),"Cast Speed,Minion",Prefix,,,27,Primalist,89.0,,8% To 9%,10% To 11%,12% To 13%,14% To 15%,16% To 19%,24% To 28%,29% To 36%,55% To 63%
Helmet,Primalist,737,Chance To Gain A Storm Stack When You Use Gathering Storm And Hit An Enemy,Chance To Gain A Storm Stack When You Use Gathering Storm And Hit An Enemy (Added),Lightning,Prefix,,Gathering Storm,26,Primalist,89.0,,7% To 12%,13% To 18%,19% To 24%,25% To 30%,31% To 36%,37% To 49%,51% To 70%,100%
Helmet,Primalist,338,Critical Strike Multiplier While Transformed,Critical Strike Multiplier While Transformed (Added),Critical,Prefix,,,48,Primalist,89.0,,15%,16% To 17%,18% To 20%,21% To 23%,24% To 29%,36% To 44%,45% To 55%,88% To 110%
Helmet,Primalist,351,Damage Over Time While Transformed,Damage Over Time While Transformed (Increased),Damage Over Time,Prefix,,,41,Primalist,89.0,,30% To 33%,34% To 37%,38% To 42%,43% To 47%,48% To 57%,70% To 85%,86% To 105%,168% To 210%
Helmet,Primalist,354,Increased Aspect Of The Boar Duration,Increased Aspect Of The Boar Duration (Added),Duration,Prefix,,,36,Primalist,89.0,,25% To 27%,28% To 30%,31% To 33%,34% To 36%,37% To 45%,55% To 65%,66% To 85%,136% To 170%
Helmet,Primalist,356,Increased Aspect Of The Lynx Effect,Increased Aspect Of The Lynx Effect (Added),,Prefix,,,51,Primalist,89.0,,12% To 13%,14% To 15%,16% To 17%,18% To 19%,20% To 25%,30% To 36%,37% To 46%,74% To 92%
Helmet,Primalist,353,Increased Aspect Of The Shark Effect,Increased Aspect Of The Shark Effect (Added),,Prefix,,,29,Primalist,89.0,,12% To 13%,14% To 15%,16% To 17%,18% To 19%,20% To 25%,30% To 36%,37% To 46%,74% To 92%
Helmet,Primalist,355,Increased Aspect Of The Viper Effect,Increased Aspect Of The Viper Effect (Added),,Prefix,,,46,Primalist,89.0,,20% To 22%,23% To 25%,26% To 28%,29% To 31%,32% To 39%,46% To 55%,56% To 70%,112% To 140%
Helmet,Primalist,666,Increased Attack And Cast Speed For Summoned Vines,Increased Attack And Cast Speed For Summoned Vines (Added),Cast Speed,Prefix,,Summon Vines,33,Primalist,89.0,,7% To 9%,10% To 12%,13% To 16%,17% To 20%,21% To 26%,33% To 39%,40% To 50%,77% To 90%
Helmet,Primalist,335,Increased Cooldown Recovery Speed While Transformed,Increased Cooldown Recovery Speed While Transformed (Added),"Recovery,Cooldown",Prefix,,,43,Primalist,89.0,,6% To 7%,8% To 9%,10% To 11%,12% To 13%,14% To 16%,19% To 21%,22% To 25%,36% To 40%
Helmet,Primalist,629,Level Of Earthquake,"Level Of Earthquake (Added)
Increased Stun Duration (Added)","Stun,Negative Ailment,Duration,Skill Level",Prefix,,Earthquake,30,Primalist,86.0,,"1
3% To 5%","1
6% To 8%","1
9% To 12%","1
13% To 16%","2
17% To 22%","3
25% To 30%","4
31% To 40%","6
64% To 80%"
Helmet,Primalist,559,Level Of Entangling Roots,"Level Of Entangling Roots (Added)
Spell Damage (Increased)","Skill Level,Spell",Prefix,,Entangling Roots,25,Primalist,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Primalist,555,Level Of Summon Bear,"Level Of Summon Bear (Added)
Minion Damage (Increased)","Skill Level,Minion",Prefix,,Summon Bear,25,Primalist,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Primalist,544,Level Of Summon Spriggan,"Level Of Summon Spriggan (Added)
Minion Damage (Increased)","Skill Level,Minion",Prefix,,Summon Spriggan,30,Primalist,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Primalist,585,Level Of Summon Storm Totem,"Level Of Summon Storm Totem (Added)
Damage For Totems (Increased)","Skill Level,Lightning,Minion",Prefix,,Summon Storm Totem,25,Primalist,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Primalist,543,Level Of Summon Thorn Totem,"Level Of Summon Thorn Totem (Added)
Damage For Totems (Increased)","Skill Level,Minion",Prefix,,Summon Thorn Totem,4,Primalist,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Primalist,540,Level Of Summon Wolf,"Level Of Summon Wolf (Added)
Minion Damage (Increased)","Skill Level,Minion",Prefix,,Summon Wolf,4,Primalist,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Primalist,602,Level Of Werebear Form,"Level Of Werebear Form (Added)
Damage While Transformed (Increased)",Skill Level,Prefix,,Werebear Form,25,Primalist,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Primalist,349,Melee Damage While Transformed,Melee Damage While Transformed (Increased),Melee,Prefix,,,28,Primalist,89.0,,30% To 33%,34% To 37%,38% To 42%,43% To 47%,48% To 57%,70% To 85%,86% To 105%,168% To 210%
Helmet,Primalist,347,Minion Chance To Inflict Bleed On Hit,Chance To Inflict Bleed On Minion Hit (Added),"Damaging Ailment,Physical,Damage Over Time,Minion",Prefix,Bleed,,36,Primalist,89.0,,30% To 34%,35% To 39%,40% To 44%,45% To 51%,52% To 62%,75% To 90%,91% To 110%,176% To 220%
Helmet,Primalist,336,Minion Critical Strike Multiplier,Minion Critical Strike Multiplier (Added),"Critical,Minion",Prefix,,,36,Primalist,89.0,,15%,16% To 17%,18% To 20%,21% To 23%,24% To 29%,36% To 44%,45% To 55%,88% To 110%
Helmet,Primalist,346,Minion Melee Damage Leeched As Health,Minion Damage Leeched As Health On Melee Hit (Added),"Health,Melee,Minion",Prefix,,,29,Primalist,89.0,,4% To 4.9%,5% To 5.9%,6% To 6.9%,7% To 7.9%,8% To 11%,13.5% To 16%,16.1% To 21%,33.6% To 42%
Helmet,Primalist,337,Minion Spell Critical Strike Chance,Minion Spell Critical Strike Chance (Increased),"Critical,Spell,Minion",Prefix,,,41,Primalist,89.0,,30% To 33%,34% To 37%,38% To 42%,43% To 47%,48% To 57%,70% To 85%,86% To 105%,168% To 210%
Helmet,Primalist,343,Shared Bleed Duration,"Increased Bleed Duration (Added)
Increased Minion Bleed Duration (Added)","Damaging Ailment,Duration,Physical,Damage Over Time,Minion",Prefix,Bleed,,34,Primalist,89.0,,"18% To 19%
18% To 19%","20% To 21%
20% To 21%","22% To 23%
22% To 23%","24% To 25%
24% To 25%","26% To 35%
26% To 35%","44% To 55%
44% To 55%","56% To 70%
56% To 70%","112% To 140%
112% To 140%"
Helmet,Primalist,340,Shared Cold Damage,"Cold Damage (Increased)
Minion Cold Damage (Increased)","Cold,Minion",Prefix,,,36,Primalist,89.0,,"25% To 27%
25% To 27%","28% To 30%
28% To 30%","31% To 33%
31% To 33%","34% To 36%
34% To 36%","37% To 50%
37% To 50%","60% To 75%
60% To 75%","76% To 100%
76% To 100%","160% To 200%
160% To 200%"
Helmet,Primalist,345,Shared Increased Melee Damage,"Melee Damage (Increased)
Minion Melee Damage (Increased)","Melee,Minion",Prefix,,,48,Primalist,89.0,,"25% To 27%
25% To 27%","28% To 30%
28% To 30%","31% To 33%
31% To 33%","34% To 36%
34% To 36%","37% To 50%
37% To 50%","60% To 75%
60% To 75%","76% To 100%
76% To 100%","160% To 200%
160% To 200%"
Helmet,Primalist,344,Shared Increased Spell Damage,"Spell Damage (Increased)
Minion Spell Damage (Increased)","Spell,Minion",Prefix,,,27,Primalist,89.0,,"25% To 27%
25% To 27%","28% To 30%
28% To 30%","31% To 33%
31% To 33%","34% To 36%
34% To 36%","37% To 50%
37% To 50%","60% To 75%
60% To 75%","76% To 100%
76% To 100%","160% To 200%
160% To 200%"
Helmet,Primalist,333,Shared Lightning Damage,"Lightning Damage (Increased)
Minion Lightning Damage (Increased)","Lightning,Minion",Prefix,,,48,Primalist,89.0,,"25% To 27%
25% To 27%","28% To 30%
28% To 30%","31% To 33%
31% To 33%","34% To 36%
34% To 36%","37% To 50%
37% To 50%","60% To 75%
60% To 75%","76% To 100%
76% To 100%","160% To 200%
160% To 200%"
Helmet,Primalist,648,Spell Damage For Storm Crows,Spell Damage For Storm Crows (Added),"Lightning,Spell,Minion",Prefix,,Summon Storm Crows,36,Primalist,89.0,,4 To 5,6 To 7,8 To 9,10 To 11,12 To 14,17 To 20,21 To 25,40 To 50
Helmet,Primalist,334,Spell Damage For Totems,Spell Damage For Totems (Added),"Spell,Minion",Prefix,,,53,Primalist,89.0,,6,7,8,9 To 10,11 To 14,18 To 22,23 To 28,45 To 56
Helmet,Primalist,350,Spell Damage While Transformed,Spell Damage While Transformed (Increased),Spell,Prefix,,,39,Primalist,89.0,,30% To 33%,34% To 37%,38% To 42%,43% To 47%,48% To 57%,70% To 85%,86% To 105%,168% To 210%
Helmet,Primalist,21,Spell Damage With Tempest Strike,Spell Damage With Tempest Strike (Added),Spell,Prefix,,Tempest Strike,26,Primalist,89.0,,20 To 23,24 To 28,29 To 34,35 To 40,41 To 50,65 To 80,81 To 100,160 To 200
Helmet,Primalist,352,Totem Critical Strike Chance,Critical Strike Chance For Totems (Increased),"Critical,Minion",Prefix,,,57,Primalist,89.0,,45% To 51%,52% To 58%,59% To 65%,66% To 72%,73% To 95%,115% To 140%,141% To 180%,288% To 360%
Helmet,Primalist,357,Totem Damage,Damage For Totems (Increased),Minion,Prefix,,,30,Primalist,89.0,,30% To 33%,34% To 37%,38% To 42%,43% To 47%,48% To 57%,70% To 85%,86% To 105%,168% To 210%
Helmet,Mage,399,Chance To Apply A Spark Charge On Melee Hit,Chance To Apply A Spark Charge On Melee Hit (Added),Melee,Prefix,Spark Charge,,32,Mage,89.0,,8% To 10%,11% To 13%,14% To 16%,17% To 19%,20% To 24%,28% To 34%,35% To 44%,70% To 85%
Helmet,Mage,387,Chance To Apply Frostbite On Hit With Cold Skills,Chance To Apply Frostbite On Cold Hit (Added),"Damaging Ailment,Cold,Damage Over Time",Prefix,Frostbite,,27,Mage,89.0,,40% To 44%,45% To 49%,50% To 54%,55% To 59%,60% To 77%,95% To 115%,116% To 140%,224% To 280%
Helmet,Mage,393,Chance To Cast Fire Aura On Critical Strike (1 Second Cooldown),Chance To Cast Fire Aura On Crit (1 Second Cooldown) (Added),"Cooldown,Fire",Prefix,,Fire Aura,57,Mage,89.0,,6%,7%,8%,9% To 10%,11% To 13%,16% To 20%,21% To 26%,42% To 50%
Helmet,Mage,398,Chance To Cast Fire Aura On Kill Fire Skills (1 Second Cooldown,Chance To Cast Fire Aura On Kill With Fire Skills (1 Second Cooldown) (Added),"Cooldown,Fire",Prefix,,Fire Aura,29,Mage,89.0,,4% To 5%,6% To 7%,8% To 9%,10% To 11%,12% To 14%,18% To 22%,23% To 28%,45% To 53%
Helmet,Mage,396,Chance To Cast Fire Aura When Hit (1 Second Cooldown),Chance To Cast Fire Aura When Hit (1 Second Cooldown) (Added),"Cooldown,Fire",Prefix,,Fire Aura,27,Mage,89.0,,6%,7%,8%,9% To 10%,11% To 13%,16% To 20%,21% To 26%,42% To 50%
Helmet,Mage,690,Chance To Gain 20 Mana When You Directly Cast Runebolt Or Fireball,Chance To Gain 20 Mana When You Directly Cast Runebolt Or Fireball (Added),"Mana,Fire",Prefix,,"Runebolt,Fireball",17,Mage,89.0,,5% To 6%,7% To 9%,10% To 12%,13% To 15%,16% To 20%,25% To 30%,31% To 38%,61% To 76%
Helmet,Mage,391,Chance To Ignite On Fire Hit,Chance To Ignite On Fire Hit (Added),"Damaging Ailment,Fire,Damage Over Time",Prefix,Ignite,,41,Mage,89.0,,40% To 44%,45% To 49%,50% To 54%,55% To 59%,60% To 77%,95% To 115%,116% To 140%,224% To 280%
Helmet,Mage,392,Chance To Shock On Hit With Lightning Skills,Chance To Shock On Lightning Hit (Added),"Resistance Reduction,Lightning",Prefix,Shock,,41,Mage,89.0,,40% To 44%,45% To 49%,50% To 54%,55% To 59%,60% To 77%,95% To 115%,116% To 140%,224% To 280%
Helmet,Mage,388,Cold Damage Over Time,Cold Damage Over Time (Increased),"Cold,Damage Over Time",Prefix,,,25,Mage,89.0,,40% To 45%,46% To 51%,52% To 57%,58% To 63%,64% To 75%,90% To 110%,111% To 140%,224% To 280%
Helmet,Mage,339,Cold Penetration With Frostbite,Cold Penetration With Frostbite (Added),"Penetration,Damaging Ailment,Cold,Damage Over Time",Prefix,Frostbite,,34,Mage,89.0,,20% To 21%,22% To 23%,24% To 25%,26% To 28%,29% To 40%,50% To 60%,61% To 80%,128% To 160%
Helmet,Mage,53,Damage Dealt To Mana Before Health,Damage Dealt To Mana Before Health (Added),"Health,Mana,Damage Redirection",Prefix,,,40,Mage,85.0,,4%,5%,6%,7%,8% To 10%,12% To 15%,16% To 20%,32% To 40%
Helmet,Mage,389,Fire Damage Over Time,Fire Damage Over Time (Increased),"Fire,Damage Over Time",Prefix,,,25,Mage,89.0,,40% To 45%,46% To 51%,52% To 57%,58% To 63%,64% To 75%,90% To 110%,111% To 140%,224% To 280%
Helmet,Mage,548,Fireball Pierce Chance,"Pierce Chance With Fireball (Added)
Spell Damage (Increased)","Fire,Spell",Prefix,,Fireball,18,Mage,89.0,,"12% To 19%
5% To 10%","20% To 27%
11% To 20%","28% To 35%
21% To 30%","36% To 45%
31% To 40%","46% To 60%
41% To 60%","65% To 79%
71% To 80%","80% To 100%
81% To 100%","100%
200% To 225%"
Helmet,Mage,695,Frost Wall Duration And Frostbite Chance,"Increased Frost Wall Duration (Added)
Frostbite Chance Per Second With Frost Wall (Added)","Damaging Ailment,Duration,Cold,Damage Over Time",Prefix,Frostbite,Frost Wall,35,Mage,89.0,,"8% To 10%
24% To 40%","11% To 13%
41% To 60%","14% To 17%
61% To 84%","18% To 21%
85% To 115%","22% To 27%
116% To 140%","30% To 35%
170% To 200%","36% To 42%
201% To 300%","67% To 84%
480% To 600%"
Helmet,Mage,394,Increased Fire Aura Damage,Increased Fire Aura Damage (Added),Fire,Prefix,,Fire Aura,29,Mage,89.0,,60% To 72%,73% To 85%,86% To 98%,99% To 110%,112% To 125%,150% To 180%,181% To 220%,352% To 440%
Helmet,Mage,688,Increased Speed And Distance With Flame Rush,Increased Speed And Distance With Flame Rush (Added),Fire,Prefix,,Flame Rush,26,Mage,89.0,,5% To 6%,7% To 9%,10% To 12%,13% To 15%,16% To 20%,26% To 30%,31% To 38%,61% To 76%
Helmet,Mage,381,Increased Spell Crit (Doubled If You Have Over 300 Max Mana),Increased Spell Critical Strike Chance. This Effect Is Doubled If You Have 300 Or More Maximum Mana. (Added),"Mana,Critical,Spell",Prefix,,,48,Mage,89.0,,30% To 33%,34% To 37%,38% To 42%,43% To 47%,48% To 58%,70% To 85%,86% To 105%,168% To 210%
Helmet,Mage,546,Level Of Elemental Nova,"Level Of Elemental Nova (Added)
Elemental Damage (Increased)","Skill Level,Elemental",Prefix,,Elemental Nova,4,Mage,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Mage,598,Level Of Enchant Weapon,"Level Of Enchant Weapon (Added)
Elemental Melee Damage (Increased)","Skill Level,Elemental,Melee",Prefix,,Enchant Weapon,30,Mage,86.0,,"1
5% To 10%","1
11% To 20%","1
21% To 30%","1
31% To 40%","2
41% To 60%","3
71% To 80%","4
81% To 100%","6
160% To 200%"
Helmet,Mage,575,Level Of Focus,"Level Of Focus (Added)
Mana (Added)","Mana,Skill Level",Prefix,,Focus,22,Mage,86.0,,"1
5 To 8","1
9 To 12","1
13 To 16","1
17 To 20","2
21 To 25","3
30 To 34","4
35 To 40","6
64 To 80"
