Affix Type,Lvl,Name,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8,Source File
Prefix,0,Dexterity,70%,+1,+2,+(3 to 4),+(5 to 6),+(7 to 8),+(11 to 13),+(14 to 16),+(24 to 28),affix_details_2
Suffix,0,Dodge Rating,0%,+(20 to 29),+(30 to 39),+(40 to 49),+(50 to 65),+(66 to 85),+(110 to 150),+(151 to 200),+(320 to 400),affix_details_2
Suffix,16,Dodge Rating,60%,+(10% to 14%),+(15% to 19%),+(20% to 24%),+(25% to 29%),+(30% to 38%),+(55% to 65%),+(66% to 80%),+(130% to 160%),affix_details_2
Prefix,25,Dodge Rating if Hit Recently,89%,+(60 to 72),+(73 to 85),+(86 to 100),+(101 to 120),+(121 to 160),+(210 to 270),+(271 to 360),+(576 to 720),affix_details_2
Suffix,35,Dodge while Evading and Increased Dodge Rating,60%,+(81 to 120) | +(9% to 12%),+(121 to 175) | +(13% to 17%),+(176 to 250) | +(18% to 22%),+(251 to 325) | +(23% to 28%),+(326 to 425) | +(29% to 35%),+(550 to 700) | +(45% to 57%),+(701 to 900) | +(58% to 72%),+(1440 to 1800) | +(115% to 144%),affix_details_2
Prefix,8,Elemental Damage,0%,+(5% to 9%),+(10% to 16%),+(17% to 24%),+(25% to 32%),+(33% to 45%),+(55% to 70%),+(71% to 90%),+(144% to 180%),affix_details_2
Prefix,50,Elemental Damage Over Time,70%,+(10% to 20%),+(21% to 35%),+(36% to 50%),+(51% to 70%),+(71% to 110%),+(140% to 170%),+(171% to 220%),+(352% to 440%),affix_details_2
Suffix,27,Elemental Resistance,30%,+(4% to 5%),+(6% to 8%),+(9% to 11%),+(12% to 15%),+(16% to 20%),+(24% to 30%),+(31% to 40%),+(64% to 75%),affix_details_2
Suffix,19,Endurance,15%,+(3% to 4%),+(5% to 6%),+(7% to 8%),+(9% to 10%),+(11% to 15%),+(20% to 26%),+(27% to 35%),+(56% to 70%),affix_details_2
Suffix,24,Endurance Threshold,15%,+(20 to 26),+(27 to 35),+(36 to 45),+(46 to 59),+(60 to 80),+(110 to 150),+(151 to 200),+(320 to 400),affix_details_2
Prefix,5,Endurance while Channelling Warpath,89%,(7% to 10%),(11% to 14%),(15% to 18%),(19% to 23%),(24% to 30%),(33% to 36%),(37% to 40%),(65% to 80%),affix_details_2
Prefix,0,Experimental Armor applies to Damage over Time | Armor Mitigation also applies to Damage over Time | Armor,0%,+9% | +(30 to 39),+(10% to 11%) | +(40 to 50),+(12% to 13%) | +(51 to 63),+(14% to 15%) | +(64 to 79),+(16% to 18%) | +(80 to 100),+(21% to 25%) | +(135 to 174),+(26% to 30%) | +(175 to 225),+(45% to 50%) | +(360 to 450),affix_details_2
Prefix,0,Experimental Bee on Potion Use | Bees Summoned on Potion Use | Minion Damage,0%,2 | +(5% to 9%),2 | +(10% to 20%),2 | +(21% to 24%),2 | +(25% to 35%),2 | +(36% to 45%),3 | +(55% to 65%),4 | +(66% to 80%),6 | +(128% to 160%),affix_details_2
Prefix,0,Experimental Dodge Rating and Endurance Threshold | Dodge Rating | Endurance Threshold if you have not been Hit Recently,0%,+(20 to 27) | +(30 to 50),+(28 to 35) | +(51 to 76),+(36 to 45) | +(77 to 105),+(46 to 56) | +(106 to 140),+(57 to 80) | +(141 to 200),+(95 to 130) | +(230 to 300),+(131 to 170) | +(301 to 400),+(272 to 340) | +(640 to 800),affix_details_2
Prefix,0,Experimental Frenzy Effect | Seconds of Frenzy after you use a Traversal Skill | Effect of Frenzy on You,0%,(1.2 to 1.3) | (3% to 5%),(1.4 to 1.5) | (6% to 10%),(1.6 to 1.7) | (11% to 17%),(1.8 to 2) | (18% to 25%),(2.1 to 2.5) | (26% to 35%),(3 to 3.4) | (40% to 49%),(3.5 to 4) | (50% to 60%),(5 to 6) | (90% to 100%),affix_details_2
Prefix,0,Experimental Haste Effect | Seconds of Haste after you use a Traversal Skill | Effect of Haste on You,0%,(1.2 to 1.3) | (3% to 5%),(1.4 to 1.5) | (6% to 10%),(1.6 to 1.7) | (11% to 17%),(1.8 to 2) | (18% to 25%),(2.1 to 2.5) | (26% to 35%),(3 to 3.4) | (40% to 49%),(3.5 to 4) | (50% to 60%),(5 to 6) | (90% to 100%),affix_details_2
Prefix,0,Experimental Mana on Potion Use | Mana Gained on Potion Use | Mana Regen for 4 seconds when you use a Potion,0%,(8 to 9) | +(10% to 15%),(10 to 11) | +(16% to 22%),(12 to 13) | +(23% to 30%),(14 to 16) | +(31% to 39%),(17 to 20) | +(40% to 50%),(25 to 29) | +(65% to 80%),(30 to 35) | +(81% to 100%),(56 to 70) | +(160% to 200%),affix_details_2
Prefix,0,Experimental Minions Transported with Traversal Skills | Minion Damage | Minions teleported around you after you use a Traversal Skill,0%,+(16% to 23%) | 2,+(24% to 31%) | 3,+(32% to 39%) | 4,+(40% to 49%) | 5,+(50% to 70%) | (6 to 7),+(80% to 105%) | (8 to 9),+(106% to 140%) | (10 to 12),+(224% to 280%) | (19 to 24),affix_details_2
Prefix,0,Experimental Traversal Cooldown Recovery on Potion Use | Seconds of Traversal Skill Cooldowns Recovered on Potion Use | Increased Chance To Find Potions,0%,0.5 | (16% to 20%),0.6 | (21% to 25%),0.7 | (26% to 32%),(0.8 to 0.9) | (33% to 40%),(1.1 to 1.2) | (41% to 50%),(1.4 to 1.5) | (70% to 79%),(1.6 to 1.8) | (80% to 100%),(2.2 to 2.7) | (160% to 200%),affix_details_2
Prefix,0,Experimental Ward Gained on Traversal | Ward Gained when you use a Traversal Skill | Ward gained per 10 Missing Mana when you use a Traversal Skill,0%,(10 to 14) | (2 to 3),(15 to 20) | (4 to 5),(21 to 27) | (6 to 7),(28 to 36) | (8 to 9),(47 to 60) | (11 to 13),(70 to 85) | (15 to 19),(86 to 110) | (20 to 25),(225 to 275) | (30 to 37),affix_details_2
Prefix,0,Experimental Ward on Kill | Ward Gain on Kill | Ward Decay Threshold,0%,(4 to 5) | +(40 to 50),(6 to 7) | +(51 to 67),(8 to 10) | +(68 to 90),(11 to 14) | +(91 to 120),(15 to 20) | +(121 to 160),(25 to 30) | +(200 to 245),(31 to 38) | +(246 to 310),(61 to 76) | +(496 to 620),affix_details_2
Prefix,0,Experimental Ward on Potion Use | Ward Decay Threshold | Ward Gained on Potion Use per 10 Intelligence,0%,+(40 to 50) | (8 to 9),+(51 to 67) | (11 to 13),+(68 to 90) | (14 to 16),+(91 to 120) | (17 to 19),+(121 to 160) | (20 to 25),+(200 to 245) | (28 to 34),+(246 to 310) | (35 to 45),+(496 to 620) | (55 to 68),affix_details_2
Prefix,0,Experimental Ward per Missing Health | Current Health Lost per second | Missing Health gained as Ward per second,0%,+4%+4%,+5%+5%,+(6% to 7%) | +(6% to 7%),+(8% to 9%) | +(8% to 9%),+(10% to 12%) | +(10% to 12%),+(14% to 16%) | +(14% to 16%),+(17% to 20%) | +(17% to 20%),+(25% to 30%) | +(25% to 30%),affix_details_2
Prefix,15,Extra Potion Slot And Potion Health,75%,+1 | (15 to 30),+1 | (31 to 52),+1 | (53 to 75),+1 | (76 to 104),+1 | (105 to 150),+2 | (190 to 240),+3 | (241 to 300),+5 | (480 to 600),affix_details_2
Prefix,0,Ferebor's Chisel Reforged | Critical Strike Multiplier for Totems | Critical Strike Chance for Totems per Intelligence,0%,+(6% to 7%) | +0%,+(8% to 9%) | +0%,+(10% to 11%) | +0%,+(12% to 14%) | +0%,+(15% to 18%) | +1%,+(25% to 29%) | +(1% to 1%),+(30% to 35%) | +(1% to 1%),+(56% to 70%) | +(1% to 2%),affix_details_2
Prefix,0,Ferebor's Persistence Reforged | Intelligence | Armor for Totems,0%,+1 | +(10 to 20),+1 | +(21 to 33),+2 | +(34 to 49),+3 | +(50 to 69),+4 | +(70 to 90),+(5 to 6) | +(120 to 149),+(7 to 8) | +(150 to 181),+(12 to 14) | +(290 to 362),affix_details_2
Prefix,0,Fire Damage,50%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%),affix_details_2
Prefix,32,Fire Damage Over Time,89%,+(40% to 45%),+(46% to 51%),+(52% to 57%),+(58% to 63%),+(64% to 75%),+(90% to 110%),+(111% to 140%),+(224% to 280%),affix_details_2
Prefix,25,Fire Damage Over Time,89%,+(40% to 45%),+(46% to 51%),+(52% to 57%),+(58% to 63%),+(64% to 75%),+(90% to 110%),+(111% to 140%),+(224% to 280%),affix_details_2
Prefix,42,Fire Penetration,70%,+4%,+5%,+6%,+7%,+(8% to 9%),+(11% to 12%),+(13% to 15%),+(24% to 30%),affix_details_2
Suffix,60,Fire Penetration and Minion Fire Penetration,85%,+3%+3%,+4%+4%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 12%) | +(9% to 12%),+(15% to 18%) | +(15% to 18%),+(19% to 22%) | +(19% to 22%),+(35% to 44%) | +(35% to 44%),affix_details_2
Prefix,55,Fire Penetration with Ignite,89%,7%,8%,(9% to 10%),(11% to 12%),(13% to 16%),(20% to 24%),(25% to 30%),(48% to 60%),affix_details_2
Suffix,0,Fire Resistance,30%,+(5% to 9%),+(10% to 14%),+(15% to 21%),+(22% to 29%),+(30% to 45%),+(50% to 60%),+(61% to 75%),+(120% to 150%),affix_details_2
Prefix,18,Fireball Pierce Chance,89%,+(12% to 19%) | +(5% to 10%),+(20% to 27%) | +(11% to 20%),+(28% to 35%) | +(21% to 30%),+(36% to 45%) | +(31% to 40%),+(46% to 60%) | +(41% to 60%),+(65% to 79%) | +(71% to 80%),+(80% to 100%) | +(81% to 100%),+100% | +(200% to 225%),affix_details_2
Prefix,60,Flame Ward Charge and Added Ward,89%,+(20 to 21) | +1,+(22 to 23) | +1,+(24 to 26) | +1,+(27 to 30) | +1,+(31 to 38) | +1,+(60 to 75) | +1,+(76 to 100) | +1,+(250 to 300) | +1,affix_details_2
Suffix,0,Fragments of the Shattered Lance Reforged | Health Regen | Melee Cold Damage,0%,+(10% to 15%) | +(5% to 8%),+(16% to 22%) | +(9% to 13%),+(23% to 30%) | +(14% to 19%),+(31% to 38%) | +(20% to 27%),+(39% to 50%) | +(28% to 35%),+(60% to 79%) | +(40% to 54%),+(80% to 100%) | +(55% to 70%),+(160% to 200%) | +(112% to 140%),affix_details_2
Prefix,35,Freeze Rate and Freezing Concoction on Potion Use,80%,+(20% to 35%) | 100%,+(36% to 60%) | 100%,+(61% to 90%) | 100%,+(91% to 130%) | 100%,+(131% to 180%) | 100%,+(230% to 300%) | 100%,+(301% to 400%) | 100%,+(640% to 800%) | (160% to 200%),affix_details_2
Suffix,10,Freeze Rate Multiplier,0%,+(20% to 35%),+(36% to 60%),+(61% to 90%),+(91% to 130%),+(131% to 180%),+(230% to 300%),+(301% to 400%),+(640% to 800%),affix_details_2
Prefix,15,Freeze Rate Multiplier and Cold Resistance,0%,+(20% to 40%) | +5%,+(41% to 65%) | +6%,+(66% to 100%) | +7%,+(101% to 140%) | +8%,+(141% to 180%) | +(9% to 10%),+(220% to 270%) | +(12% to 14%),+(271% to 350%) | +(15% to 18%),+(560% to 700%) | +(29% to 36%),affix_details_2
Prefix,42,Freeze Rate per stack of Chill,80%,+(14% to 16%),+(17% to 20%),+(21% to 25%),+(26% to 31%),+(32% to 37%),+(40% to 50%),+(51% to 65%),+(104% to 130%),affix_details_2
Prefix,35,Frost Wall Duration and Frostbite Chance,89%,(8% to 10%) | (24% to 40%),(11% to 13%) | (41% to 60%),(14% to 17%) | (61% to 84%),(18% to 21%) | (85% to 115%),(22% to 27%) | (116% to 140%),(30% to 35%) | (170% to 200%),(36% to 42%) | (201% to 300%),(67% to 84%) | (480% to 600%),affix_details_2
Prefix,0,Gaspar's Acuity Reforged | Lightning Cast Speed | Chance to cast Decimate when you directly use a Lightning Spell (4 second cooldown),0%,+3% | (50% to 59%),+4% | (60% to 69%),+5% | (70% to 79%),+6% | (80% to 89%),+7% | (90% to 100%),+(8% to 11%) | 100%,+(12% to 16%) | 100%,+(24% to 28%) | 100%,affix_details_2
Prefix,0,Gaspar's Insight Reforged | Cold Cast Speed | Chance to cast Decimate when you directly use a Cold Spell (4 second cooldown),0%,+3% | (50% to 59%),+4% | (60% to 69%),+5% | (70% to 79%),+6% | (80% to 89%),+7% | (90% to 100%),+(8% to 11%) | 100%,+(12% to 16%) | 100%,+(24% to 28%) | 100%,affix_details_2
Prefix,0,Gaspar's Will Reforged | Fire Cast Speed | Chance to cast Decimate when you directly use a Fire Spell (4 second cooldown),0%,+(5% to 6%) | (50% to 59%),+(7% to 8%) | (60% to 69%),+(9% to 10%) | (70% to 79%),+(11% to 12%) | (80% to 89%),+(13% to 14%) | (90% to 100%),+(18% to 22%) | 100%,+(23% to 28%) | 100%,+(43% to 49%) | 100%,affix_details_2
Prefix,0,Halvar's Pledge Reforged | Spell Physical Damage | Attunement,0%,+(6 to 7) | +1,+(8 to 9) | +2,+(10 to 11) | +3,+(12 to 13) | +4,+(14 to 15) | +5,+(20 to 24) | +(6 to 7),+(25 to 30) | +(8 to 10),+(40 to 50) | +(13 to 15),affix_details_2
Prefix,0,Halvar's Stand Reforged | Increased physical spell damage if you have directly cast a cold spell recently | Chance to gain Haste when you kill an enemy with a spell,0%,(15% to 16%) | +(6% to 7%),(17% to 19%) | +(8% to 9%),(20% to 23%) | +(10% to 11%),(24% to 28%) | +(12% to 13%),(29% to 35%) | +(14% to 15%),(50% to 59%) | +(20% to 24%),(60% to 70%) | +(25% to 30%),(112% to 140%) | +(48% to 60%),affix_details_2
Prefix,6,Harvest Damage Leeched as Health,89%,(1.2% to 1.6%),(1.7% to 2.1%),(2.2% to 2.6%),(2.7% to 3.1%),(3.2% to 4%),(4.8% to 6%),(6.1% to 7.5%),(12% to 15%),affix_details_2
Suffix,0,Health,0%,+(5 to 15),+(16 to 25),+(26 to 40),+(41 to 60),+(61 to 90),+(100 to 130),+(131 to 180),+(275 to 325),affix_details_2
Suffix,25,Health,0%,+3%,+(4% to 5%),+(6% to 7%),+(8% to 9%),+(10% to 12%),+(15% to 20%),+(21% to 26%),+(40% to 47%),affix_details_2
Suffix,46,Health and Stun Avoidance,80%,+(12 to 17) | +(40 to 65),+(18 to 26) | +(66 to 100),+(27 to 35) | +(101 to 180),+(36 to 44) | +(181 to 250),+(45 to 60) | +(251 to 350),+(75 to 99) | +(450 to 550),+(100 to 130) | +(551 to 750),+(198 to 234) | +(1200 to 1500),affix_details_2
Prefix,15,Health Gained on Block,0%,(3 to 5),(6 to 9),(10 to 14),(15 to 19),(20 to 30),(35 to 49),(50 to 75),(120 to 150),affix_details_2
Prefix,32,Health Gained on Glancing Blow,89%,(6 to 7),(8 to 9),(10 to 11),(12 to 13),(14 to 18),(23 to 28),(29 to 36),(58 to 72),affix_details_2
Suffix,0,Health On Kill,0%,2,(3 to 4),(5 to 6),(7 to 8),(9 to 12),(18 to 26),(27 to 36),(60 to 75),affix_details_2
Suffix,0,Health On Melee Hit,0%,(2 to 3),(4 to 6),(7 to 9),(10 to 12),(13 to 16),(21 to 29),(30 to 40),(64 to 80),affix_details_2
Suffix,0,Health Regen per Second,0%,+(2 to 3),+(4 to 5),+(6 to 7),+(8 to 10),+(11 to 14),+(20 to 25),+(26 to 35),+(56 to 70),affix_details_2
Suffix,0,Health Regeneration,0%,+(6% to 17%),+(18% to 29%),+(30% to 41%),+(42% to 53%),+(54% to 82%),+(100% to 129%),+(130% to 162%),+(260% to 325%),affix_details_2
Prefix,0,Hirish's | Mana Regen | Damage Dealt to Mana Before Health,0%,+12%+12%,+13%+13%,+14%+14%,+15%+15%,+(16% to 18%) | +(16% to 18%),+(22% to 26%) | +(22% to 26%),+(27% to 32%) | +(27% to 32%),+(51% to 64%) | +(51% to 64%),affix_details_2
Suffix,45,Hybrid Health,90%,+(14 to 21) | +3%,+(22 to 29) | +3%,+(30 to 37) | +4%,+(38 to 45) | +4%,+(46 to 68) | +5%,+(85 to 105) | +(6% to 7%),+(106 to 135) | +(8% to 10%),+(205 to 243) | +(15% to 18%),affix_details_2
Prefix,43,Increased Abyssal Decay Duration,89%,(12% to 17%),(18% to 23%),(24% to 29%),(30% to 34%),(35% to 45%),(55% to 65%),(66% to 85%),(136% to 170%),affix_details_2
Prefix,32,Increased Area for Area Skills,60%,(6% to 7%),(8% to 9%),(10% to 12%),(13% to 15%),(16% to 20%),(25% to 29%),(30% to 34%),(54% to 60%),affix_details_2
Suffix,30,Increased Area for Melee Area Skills,20%,(8% to 10%),(11% to 14%),(15% to 19%),(20% to 24%),(25% to 32%),(38% to 45%),(46% to 55%),(88% to 110%),affix_details_2
Prefix,4,Increased Area with Acid Flask,89%,(5% to 10%),(11% to 15%),(16% to 20%),(21% to 25%),(26% to 30%),(38% to 46%),(47% to 60%),(96% to 120%),affix_details_2
Prefix,10,Increased Area with Cinder Strike's First Strike,89%,(15% to 17%),(19% to 22%),(23% to 27%),(28% to 32%),(33% to 40%),(50% to 60%),(61% to 80%),(128% to 160%),affix_details_2
Prefix,25,Increased Area with Dancing Strikes,89%,(12% to 15%),(16% to 19%),(20% to 23%),(24% to 27%),(28% to 35%),(44% to 55%),(56% to 70%),(112% to 140%),affix_details_2
Prefix,25,Increased Area with Detonating Arrow,89%,(15% to 17%),(19% to 22%),(23% to 27%),(28% to 32%),(33% to 40%),(50% to 60%),(61% to 80%),(128% to 160%),affix_details_2
Prefix,27,Increased Armor Shred Duration,89%,(50% to 60%),(61% to 72%),(73% to 85%),(86% to 100%),(101% to 120%),(150% to 190%),(191% to 240%),(384% to 480%),affix_details_2
Prefix,55,Increased Armor Shred Effect,89%,(45% to 51%),(52% to 58%),(59% to 65%),(66% to 72%),(73% to 95%),(120% to 150%),(151% to 190%),(304% to 380%),affix_details_2
Prefix,27,Increased Armor Shred Effect,89%,(45% to 51%),(52% to 58%),(59% to 65%),(66% to 72%),(73% to 95%),(120% to 150%),(151% to 190%),(304% to 380%),affix_details_2
Prefix,36,Increased Aspect of the Boar Duration,89%,(25% to 27%),(28% to 30%),(31% to 33%),(34% to 36%),(37% to 45%),(55% to 65%),(66% to 85%),(136% to 170%),affix_details_2
Prefix,51,Increased Aspect of the Lynx Effect,89%,(12% to 13%),(14% to 15%),(16% to 17%),(18% to 19%),(20% to 25%),(30% to 36%),(37% to 46%),(74% to 92%),affix_details_2
Prefix,29,Increased Aspect of the Shark Effect,89%,(12% to 13%),(14% to 15%),(16% to 17%),(18% to 19%),(20% to 25%),(30% to 36%),(37% to 46%),(74% to 92%),affix_details_2
Prefix,46,Increased Aspect of the Viper Effect,89%,(20% to 22%),(23% to 25%),(26% to 28%),(29% to 31%),(32% to 39%),(46% to 55%),(56% to 70%),(112% to 140%),affix_details_2
Prefix,33,Increased Attack and Cast Speed for Summoned Vines,89%,(7% to 9%),(10% to 12%),(13% to 16%),(17% to 20%),(21% to 26%),(33% to 39%),(40% to 50%),(77% to 90%),affix_details_2
Prefix,5,Increased Chance to Find Potions,70%,(12% to 22%),(23% to 31%),(32% to 40%),(41% to 49%),(50% to 60%),(75% to 99%),(100% to 120%),(192% to 240%),affix_details_2
Suffix,6,Increased Cooldown Recovery Speed,0%,(5% to 6%),(7% to 9%),(10% to 12%),(13% to 15%),(16% to 20%),(24% to 27%),(28% to 32%),(45% to 50%),affix_details_2
Prefix,43,Increased Cooldown Recovery Speed while Transformed,89%,(6% to 7%),(8% to 9%),(10% to 11%),(12% to 13%),(14% to 16%),(19% to 21%),(22% to 25%),(36% to 40%),affix_details_2
Prefix,4,Increased crit chance with Flurry,89%,(36% to 40%),(41% to 45%),(46% to 55%),(56% to 65%),(66% to 80%),(100% to 125%),(126% to 160%),(256% to 320%),affix_details_2
Prefix,29,Increased Critical Strike Chance For You And Your Minions,89%,+(40% to 45%) | +(40% to 45%),+(46% to 51%) | +(46% to 51%),+(52% to 57%) | +(52% to 57%),+(58% to 63%) | +(58% to 63%),+(64% to 80%) | +(64% to 80%),+(100% to 120%) | +(100% to 120%),+(121% to 150%) | +(121% to 150%),+(240% to 300%) | +(240% to 300%),affix_details_2
Prefix,41,Increased Critical Strike Chance per Equipped Dagger,89%,(31% to 35%),(36% to 40%),(41% to 45%),(46% to 50%),(51% to 60%),(75% to 95%),(96% to 120%),(192% to 240%),affix_details_2
Prefix,41,Increased Critical Strike Chance per Equipped Sword,89%,(31% to 35%),(36% to 40%),(41% to 45%),(46% to 50%),(51% to 60%),(75% to 95%),(96% to 120%),(192% to 240%),affix_details_2
Prefix,35,Increased Damage of Skills use by Shadows,89%,(41% to 50%),(51% to 60%),(61% to 70%),(71% to 80%),(81% to 100%),(135% to 180%),(181% to 240%),(384% to 480%),affix_details_2
Prefix,25,Increased damage per active Shadow with Shadow Cascade,89%,(12% to 14%),(15% to 17%),(18% to 20%),(21% to 23%),(24% to 30%),(38% to 46%),(47% to 60%),(96% to 120%),affix_details_2
Prefix,25,Increased Damage per arrow with Multishot,89%,4%,5%,6%,7%,(8% to 10%),(12% to 15%),(16% to 20%),(32% to 40%),affix_details_2
Prefix,29,Increased Damage while wielding a Bow,89%,(26% to 30%),(31% to 35%),(36% to 40%),(41% to 47%),(48% to 60%),(75% to 95%),(96% to 120%),(192% to 240%),affix_details_2
Prefix,29,Increased Damage while wielding a Dagger,89%,(26% to 30%),(31% to 35%),(36% to 40%),(41% to 47%),(48% to 60%),(75% to 95%),(96% to 120%),(192% to 240%),affix_details_2
Prefix,29,Increased Damage while wielding a Sword,89%,(26% to 30%),(31% to 35%),(36% to 40%),(41% to 47%),(48% to 60%),(75% to 95%),(96% to 120%),(192% to 240%),affix_details_2
Prefix,45,Increased Damage With Rip Blood And Blood Splatter,89%,+(30% to 34%) | +(30% to 34%),+(35% to 42%) | +(35% to 42%),+(43% to 50%) | +(43% to 50%),+(51% to 59%) | +(51% to 59%),+(60% to 75%) | +(60% to 75%),+(90% to 110%) | +(90% to 110%),+(111% to 140%) | +(111% to 140%),+(224% to 280%) | +(224% to 280%),affix_details_2
Prefix,60,Increased Echo Damage When A Skill Echoes,89%,(60% to 72%),(73% to 85%),(86% to 98%),(99% to 110%),(111% to 125%),(150% to 180%),(181% to 220%),(352% to 440%),affix_details_2
Prefix,29,Increased Fire Aura Damage,89%,(60% to 72%),(73% to 85%),(86% to 98%),(99% to 110%),(112% to 125%),(150% to 180%),(181% to 220%),(352% to 440%),affix_details_2
Prefix,55,Increased Fire Damage And Ignite Duration,89%,+(25% to 28%) | 15%,+(29% to 32%) | 16%,+(33% to 36%) | (17% to 18%),+(37% to 40%) | (19% to 20%),+(41% to 50%) | (21% to 24%),+(60% to 70%) | (28% to 34%),+(71% to 90%) | (35% to 42%),+(144% to 180%) | (67% to 84%),affix_details_2
Prefix,50,Increased Hail of Arrows Duration,89%,(11% to 13%),(14% to 16%),(17% to 19%),(20% to 23%),(24% to 30%),(38% to 46%),(47% to 60%),(96% to 120%),affix_details_2
Prefix,60,+1 Skeleton and Increased Skeleton Damage,92%,+1 | (10% to 14%),+1 | (15% to 19%),+1 | (20% to 24%),+1 | (25% to 29%),+1 | (30% to 50%),+1 | (75% to 90%),+1 | (91% to 120%),+2 | (192% to 240%),affix_details_1
Prefix,0,Abyssal Champion's | Melee Damage | Charge for Void Cleave,0%,+(4 to 8) | +1,+(9 to 13) | +1,+(14 to 18) | +1,+(19 to 24) | +1,+(25 to 32) | +1,+(43 to 57) | +1,+(58 to 75) | +1,+(100 to 125) | +2,affix_details_1
Suffix,0,Added Health and Added Health Regeneration,90%,+(14 to 21) | +(1 to 2),+(22 to 29) | +(3 to 4),+(30 to 37) | +(5 to 6),+(38 to 45) | +(7 to 9),+(46 to 68) | +(10 to 12),+(85 to 105) | +(15 to 19),+(106 to 135) | +(20 to 25),+(205 to 243) | +(40 to 50),affix_details_1
Prefix,22,Added Javelin Lightning Throwing Damage,89%,+(6 to 7),+(8 to 10),+(11 to 13),+(14 to 17),+(18 to 22),+(29 to 34),+(35 to 44),+(70 to 88),affix_details_1
Prefix,35,Added Melee And Spell Necrotic Damage,20%,+(3 to 5) | +(3 to 4),+(6 to 9) | +(5 to 7),+(10 to 14) | +(8 to 10),+(15 to 19) | +(11 to 13),+(20 to 24) | +(14 to 21),+(37 to 46) | +(28 to 33),+(47 to 60) | +(34 to 40),+(100 to 120) | +(66 to 80),affix_details_1
Prefix,46,Added Minion Melee Crit Chance,89%,+3%,+4%,+5%,+6%,+(7% to 8%),+(10% to 12%),+(13% to 15%),+(24% to 30%),affix_details_1
Prefix,55,Added Physical Throwing Damage while Dual Wielding,89%,+(5 to 6),+(7 to 8),+(9 to 10),+(11 to 13),+(14 to 17),+(22 to 26),+(27 to 34),+(54 to 68),affix_details_1
Suffix,13,All Attributes,0%,+1,+2,+3,+4,+5,+(7 to 8),+(9 to 10),+(16 to 20),affix_details_1
Suffix,55,All Resistances,70%,+5%,+6%,+(7% to 8%),+(9% to 10%),+(11% to 14%),+(18% to 23%),+(24% to 30%),+(48% to 60%),affix_details_1
Suffix,46,All Resistances while Channelling,60%,+(5% to 6%),+(7% to 8%),+(9% to 12%),+(13% to 16%),+(17% to 22%),+(28% to 36%),+(37% to 48%),+(75% to 95%),affix_details_1
Prefix,0,Andinai's | Dodge Rating | Chance to gain Dusk Shroud when you use a Melee Attack that hits,0%,+(42 to 50) | +(16% to 17%),+(51 to 60) | +(18% to 19%),+(71 to 83) | +(20% to 21%),+(84 to 100) | +(22% to 24%),+(100 to 130) | +(25% to 30%),+(150 to 180) | +(35% to 42%),+(181 to 250) | +(43% to 50%),+(400 to 500) | +(80% to 100%),affix_details_1
Suffix,0,Armor,0%,+(6 to 20),+(21 to 35),+(36 to 55),+(56 to 80),+(81 to 110),+(150 to 190),+(191 to 260),+(416 to 520),affix_details_1
Suffix,14,Armor,40%,+(10% to 12%),+(13% to 16%),+(17% to 21%),+(22% to 26%),+(27% to 32%),+(40% to 50%),+(51% to 70%),+(112% to 140%),affix_details_1
Prefix,27,Armor And Minion Armor,89%,+(40 to 59) | +(40 to 59),+(60 to 79) | +(60 to 79),+(80 to 99) | +(80 to 99),+(100 to 119) | +(100 to 119),+(120 to 150) | +(120 to 150),+(190 to 230) | +(190 to 230),+(231 to 300) | +(231 to 300),+(480 to 600) | +(480 to 600),affix_details_1
Suffix,40,Armor and Reduced Bonus Damage from Crits,60%,+(24 to 32) | (8% to 10%),+(33 to 42) | (11% to 14%),+(43 to 55) | (15% to 19%),+(56 to 70) | (20% to 24%),+(71 to 95) | (25% to 30%),+(130 to 170) | (38% to 45%),+(171 to 220) | (46% to 60%),+(352 to 440) | (60% to 90%),affix_details_1
Prefix,49,Armor Shred Chance for Locusts,89%,+(14% to 19%),+(20% to 27%),+(28% to 35%),+(36% to 45%),+(46% to 60%),+(75% to 90%),+(91% to 120%),+(192% to 240%),affix_details_1
Prefix,5,Attunement,30%,+1,+2,+(3 to 4),+(5 to 6),+(7 to 8),+(11 to 13),+(14 to 16),+(24 to 28),affix_details_1
Prefix,35,Black Arrows dropped by Dark Quiver and Increased Bow Damage,89%,+2 | +(8% to 11%),+2 | +(12% to 17%),+2 | +(18% to 23%),+2 | +(24% to 30%),+2 | +(31% to 40%),+3 | +(50% to 65%),+4 | +(66% to 90%),+8 | +(144% to 180%),affix_details_1
Prefix,0,Blade of the Forgotten Knight Reforged | Void Damage | Chance to gain Haste for 1 second on Hit,0%,+(20% to 22%) | 11%,+(23% to 26%) | 12%,+(27% to 32%) | 13%,+(33% to 39%) | 14%,+(40% to 50%) | 15%,+(60% to 79%) | (18% to 20%),+(80% to 100%) | (21% to 25%),+(160% to 200%) | (40% to 50%),affix_details_1
